User ID,name,Gender,Age,EstimatedSalary,Purchased
10000,Elizabeth Walters,Male,54,66421,1
10001,Megan Riley,Male,57,25476,1
10002,Justin Jackson,Female,22,135530,1
10003,Kathryn Bernard,Female,38,117486,0
10004,Jackie Lee,Female,56,73628,1
10005,Nicholas Maddox,Female,27,15946,0
10006,Brian Clarke,Female,21,40863,1
10007,Jennifer Nguyen,Female,58,97332,0
10008,Nichole Harrell,Female,33,67733,0
10009,Whitney Ramirez,Male,50,68601,1
10010,Kimberly Lewis,Female,41,131380,1
10011,Wesley White,Male,25,135442,0
10012,Wayne Price,Female,36,124456,0
10013,Melissa Sanchez,Female,38,83701,0
10014,John Green,Female,29,60890,0
10015,Christina Maldonado,Male,58,26525,0
10016,Adam David,Female,50,129056,0
10017,Michelle Wong,Female,52,45445,0
10018,Pamela Vazquez,Female,24,19295,1
10019,Katelyn Pacheco,Female,56,73277,0
10020,Amy Miller,Male,28,91951,0
10021,Angela Evans,Male,38,148099,0
10022,Melissa Fisher,Male,23,30373,0
10023,Miguel Gonzales,Male,53,109971,1
10024,Kelly Green,Female,51,59535,0
10025,Gabriella Blair,Female,58,103281,0
10026,Jason Hill,Female,51,63885,1
10027,Brett Smith,Female,50,88715,1
10028,Debbie Reese,Male,43,40477,0
10029,James Bennett,Female,20,146144,1
10030,Mark Baker,Male,51,59262,1
10031,Joel Nicholson,Female,32,79059,1
10032,Sarah Williams,Male,55,62692,1
10033,Antonio Harrison,Male,52,139213,1
10034,Tracy Taylor,Female,38,92022,0
10035,Edward Hays,Male,55,8416,0
10036,Stephen White,Female,56,88117,1
10037,John Eaton,Male,51,9263,0
10038,Jacob Baker,Male,20,72605,0
10039,Robert Garcia,Male,20,101671,-1
10040,Kimberly Hudson,Male,47,100126,0
10041,Robert Trujillo,Male,37,99697,-1
10042,Andrea Smith,Male,26,67984,0
10043,Kenneth Watson,Male,44,14576,0
10044,Marcus Howard MD,Male,51,119831,1
10045,Rachel Acevedo,Male,34,142507,0
10046,Samuel Franklin,Male,30,120212,1
10047,Paul Martinez,Male,52,11928,1
10048,Keith Rose,Female,25,76527,0
10049,Gerald Thornton,Female,37,43408,1
10050,Stephanie Martin,Female,24,40739,0
10051,Wesley Alexander,Male,49,64520,1
10052,Kathy Molina,Female,55,76839,0
10053,Jasmine Horne,Female,24,118608,0
10054,Amy Wolfe,Male,28,35108,1
10055,Samantha Rodriguez,Female,59,82492,1
10056,Alex Gardner,Male,38,19938,1
10057,Tara Thompson,Female,38,58713,1
10058,Travis Phillips,Female,28,149291,1
10059,Nicholas Hernandez,Female,34,128680,0
10060,Tom Jones,Female,27,38854,0
10061,David Johnson,Male,24,33195,0
10062,Stephen Rodriguez,Male,43,111625,1
10063,Oscar Turner,Female,30,91205,1
10064,Bruce Williams,Male,22,57454,0
10065,Erica Roberts,Male,57,49453,1
10066,Jesse Fisher,Male,27,49657,1
10067,Nicholas Montgomery,Male,56,110658,0
10068,Christopher Jones,Male,24,43838,1
10069,Michael Smith,Male,47,146765,0
10070,Jesse Rodriguez,Female,57,12259,1
10071,Beverly Heath,Male,43,74283,0
10072,Brian Byrd,Male,29,15045,1
10073,Melissa Kim,Female,24,112528,1
10074,Frank Vega,Female,53,145085,1
10075,Jeffrey Gilbert,Male,28,135105,0
10076,Matthew Martinez,Male,52,108046,0
10077,Andrea Sosa,Female,36,28063,1
10078,Andrew Henderson,Male,54,135450,0
10079,Andrew Rodriguez,Female,40,94254,1
10080,Daniel Dixon,Male,50,131990,1
10081,Charles Brown,Female,37,106103,1
10082,Brandon Johnson,Female,44,49303,0
10083,Eric Carr,Female,37,93377,1
10084,Kathleen Marshall,Male,33,75616,1
10085,Tyler Fernandez,Female,24,16858,1
10086,Todd Brown,Female,48,98913,1
10087,Edward Rose,Female,47,113137,1
10088,Anthony Jefferson,Male,22,10360,0
10089,Donna Powell,Female,37,85964,-1
10090,Susan Young,Male,43,60934,0
10091,Sara Figueroa,Female,45,129118,-1
10092,Timothy Leblanc,Male,56,81729,0
10093,Dennis Williams,Male,41,98288,1
10094,Shannon Paul,Male,59,17352,1
10095,Karen Shaw,Male,20,45077,1
10096,Brenda Martinez,Female,46,117738,1
10097,Ann Brown,Male,39,17077,1
10098,William Fuentes,Male,32,20594,0
10099,Kaylee Howard,Female,55,125922,0
10100,Laura Butler,Male,21,131771,1
10101,Sandra Price,Male,28,72778,1
10102,Gary Beard,Male,34,125768,0
10103,James Krueger,Female,57,91055,0
10104,Christopher Carter,Female,40,73863,0
10105,Cynthia Esparza,Male,42,17533,1
10106,Scott Brady Jr.,Female,34,80438,0
10107,Isaac Guerrero Jr.,Female,45,82545,1
10108,Maurice Pearson,Male,57,41887,0
10109,Jane George,Female,53,93872,0
10110,Ricky Tran,Male,57,28226,1
10111,Kyle Taylor,Female,57,106676,1
10112,Jose Leonard,Male,58,117308,0
10113,Joshua Hurley,Female,22,31480,1
10114,April Freeman,Female,48,117586,0
10115,Karen Reed,Male,28,120325,0
10116,David Lopez,Female,29,70705,0
10117,Zachary Foster,Male,30,58830,1
10118,Matthew Riley,Male,46,83730,0
10119,Austin Morgan,Female,59,51685,0
10120,Rachel Cox,Male,49,72916,-1
10121,Robin Wagner,Female,22,36663,1
10122,John Elliott,Female,49,15550,-1
10123,Katherine Barrett,Female,44,27754,1
10124,Beth Richards,Female,58,46569,0
10125,Jessica Schroeder,Female,57,87212,1
10126,Sheila Lutz,Female,21,146257,0
10127,Kristopher Mann,Female,55,136419,1
10128,Christy Hull,Male,38,80053,1
10129,Robert Jones,Female,29,72616,1
10130,Mr. James Wilson,Female,54,148470,0
10131,John Browning,Male,51,23304,0
10132,Kimberly Carter,Male,53,122750,0
10133,Mrs. Christina Gardner,Male,36,67681,0
10134,Lauren Navarro,Male,28,20179,-1
10135,Laura Schneider,Female,26,50668,1
10136,Olivia Gregory,Male,51,50896,0
